,date,cases,deaths,country,countryCode,continent
28134,20191231,0,0,Iraq,IRQ,Asia
40527,20191231,0,0,Netherlands,NLD,Europe
29098,20191231,0,0,Israel,ISR,Asia
41137,20191231,0,0,New_Zealand,NZL,Oceania
16807,20191231,0,0,Dominican_Republic,DOM,America
43310,20191231,0,0,Oman,OMN,Asia
42357,20191231,0,0,North_Macedonia,MKD,Europe
42966,20191231,0,0,Norway,NOR,Europe
18657,20191231,0,0,Estonia,EST,Europe
22229,20191231,0,0,Germany,DEU,Europe
54658,20191231,0,0,Switzerland,CHE,Europe
59350,20191231,0,0,United_States_of_America,USA,America
17152,20191231,0,0,Ecuador,ECU,America
43655,20191231,0,0,Pakistan,PAK,Asia
5836,20191231,0,0,Belgium,BEL,Europe
53412,20191231,0,0,Sri_Lanka,LKA,Asia
8340,20191231,0,0,Brazil,BRA,America
32961,20191231,0,0,Lebanon,LBN,Asia
46918,20191231,0,0,Romania,ROU,Europe
53071,20191231,0,0,Spain,ESP,Europe
34676,20191231,0,0,Luxembourg,LUX,Europe
27436,20191231,0,0,Indonesia,IDN,Asia
29448,20191231,0,0,Italy,ITA,Europe
5486,20191231,0,0,Belarus,BLR,Europe
21879,20191231,0,0,Georgia,GEO,Europe
35550,20191231,0,0,Malaysia,MYS,Asia
58377,20191231,0,0,United_Arab_Emirates,ARE,Asia
10038,20191231,0,0,Cambodia,KHM,Asia
47268,20191231,0,0,Russia,RUS,Europe
37937,20191231,0,0,Monaco,MCO,Europe
26744,20191231,0,0,Iceland,ISL,Europe
48697,20191231,0,0,San_Marino,SMR,Europe
2666,20191231,0,0,Armenia,ARM,Europe
54308,20191231,0,0,Sweden,SWE,Europe
30075,20191231,0,0,Japan,JPN,Asia
10665,20191231,0,0,Canada,CAN,America
50674,20191231,0,0,Singapore,SGP,Asia
15301,20191231,0,0,Czechia,CZE,Europe
52469,20191231,0,0,South_Korea,KOR,Asia
23123,20191231,0,0,Greece,GRC,Europe
4597,20191231,0,0,Bahrain,BHR,Asia
14132,20191231,0,0,Croatia,HRV,Europe
